id,name,link,indeed,favorite,category
1,Walmart,https://www.linkedin.com/company/walmart/jobs/,https://www.indeed.com/cmp/Walmart,0,IndustryLeaders
2,BestBuy,https://www.linkedin.com/company/best-buy/jobs/,https://www.indeed.com/cmp/Best-Buy,0,IndustryLeaders
3,Home Depot,https://www.linkedin.com/company/the-home-depot/jobs/,https://www.indeed.com/cmp/The-Home-Depot,0,IndustryLeaders
4,Target,https://www.linkedin.com/company/target/jobs/,https://www.indeed.com/cmp/Target,0,IndustryLeaders
5,Costco,https://www.linkedin.com/company/costco-wholesale/jobs/,https://www.indeed.com/cmp/Costco-Wholesale,0,IndustryLeaders
6,United Airlines,https://www.linkedin.com/company/united-airlines/jobs/,https://www.indeed.com/cmp/United-Airlines,0,IndustryLeaders
7,Fedex,https://www.linkedin.com/company/fedex/jobs/,https://www.indeed.com/cmp/FedEx,0,IndustryLeaders
8,Aflac,https://www.linkedin.com/company/aflac/jobs/,https://www.indeed.com/cmp/Aflac,0,IndustryLeaders
9,GEICO,https://www.linkedin.com/company/geico/jobs/,https://www.indeed.com/cmp/Geico,0,IndustryLeaders
10,Kroger,https://www.linkedin.com/company/kroger/jobs/,https://www.indeed.com/cmp/Kroger,0,IndustryLeaders
11,Boeing,https://www.linkedin.com/company/boeing/jobs/,https://www.indeed.com/cmp/Boeing,0,IndustryLeaders
12,Tesla,https://www.linkedin.com/company/tesla-motors/jobs/,https://www.indeed.com/cmp/Tesla,0,IndustryLeaders
13,The RealReal,https://www.linkedin.com/company/the-realreal/jobs/,https://www.indeed.com/cmp/The-Realreal,0,IndustryLeaders
14,Adobe,https://www.linkedin.com/company/adobe/jobs/,https://www.indeed.com/cmp/Adobe,0,BigTech
15,Microsoft,https://www.linkedin.com/company/microsoft/jobs/,https://www.indeed.com/cmp/Microsoft,0,BigTech
16,Dropbox,https://www.linkedin.com/company/dropbox/jobs/,https://www.indeed.com/cmp/Dropbox-ab4b15a9,0,BigTech
17,Meta,https://www.linkedin.com/company/meta/jobs/,https://www.indeed.com/cmp/Meta-dd1502f2,0,BigTech
18,Google,https://www.linkedin.com/company/google/jobs/,https://www.indeed.com/cmp/Google,0,BigTech
19,Apple,https://www.linkedin.com/company/apple/jobs/,https://www.indeed.com/cmp/Apple,0,BigTech
20,Airbnb,https://www.linkedin.com/company/airbnb/jobs/,https://www.indeed.com/cmp/Airbnb,0,BigTech
21,Uber,https://www.linkedin.com/company/uber-com/jobs/,https://www.indeed.com/cmp/Uber,0,BigTech
22,LinkedIn,https://www.linkedin.com/company/linkedin/jobs/,https://www.indeed.com/cmp/Linkedin,0,BigTech
23,Cruise,https://www.linkedin.com/company/getcruise/jobs/,https://www.indeed.com/cmp/Cruise-fc3bd24b,0,BigTech
24,NVIDIA,https://www.linkedin.com/company/nvidia/jobs/,https://www.indeed.com/cmp/Nvidia,0,BigTech
25,Snap,https://www.linkedin.com/company/snap-inc-co/jobs/,https://www.indeed.com/cmp/Snap-Inc.,0,BigTech
26,Zillow,https://www.linkedin.com/company/zillow/jobs/,https://www.indeed.com/cmp/Zillow,0,BigTech
27,X,https://careers.x.com/,https://www.indeed.com/cmp/Twitter,0,BigTech
28,Netflix,https://www.linkedin.com/company/netflix/jobs/,https://www.indeed.com/cmp/Netflix,0,Media
29,Spotify,https://www.linkedin.com/company/spotify/jobs/,https://www.indeed.com/cmp/Spotify,0,Media
30,SoundCloud,https://www.linkedin.com/company/soundcloud/jobs/,https://www.indeed.com/cmp/Soundcloud,0,Media
